run_id,service_date,depot_id,timestamp,settlement_date,settlement_period,scheduled_mwh,scheduled_kw,market,source,position_type,notes
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-09 20:30:00+01:00,2026-05-09,42,0.11529860000000015,230.5972000000003,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 00:00:00+01:00,2026-05-10,1,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 00:30:00+01:00,2026-05-10,2,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 01:00:00+01:00,2026-05-10,3,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 01:30:00+01:00,2026-05-10,4,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 02:00:00+01:00,2026-05-10,5,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 02:30:00+01:00,2026-05-10,6,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 03:00:00+01:00,2026-05-10,7,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 03:30:00+01:00,2026-05-10,8,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 04:00:00+01:00,2026-05-10,9,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 04:30:00+01:00,2026-05-10,10,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 05:00:00+01:00,2026-05-10,11,0.375,750.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 06:00:00+01:00,2026-05-10,13,0.325,650.0,synthetic_day_ahead,synthetic,site_cap_optimized_schedule,Simplified scheduled energy position from optimized charging schedule.
